timestamp,suhu,kelembaban,tekanan,angin,hujan
2026-04-11T00:00,26.6,89,1011.4,5.1,0.0
2026-04-11T01:00,26.5,89,1010.4,2.8,0.0
2026-04-11T02:00,26.4,91,1010.0,5.8,0.0
2026-04-11T03:00,26.2,90,1009.7,6.9,0.0
2026-04-11T04:00,26.3,89,1009.6,5.4,0.0
2026-04-11T05:00,26.5,88,1009.7,4.4,0.0
2026-04-11T06:00,26.5,88,1010.5,3.1,0.0
2026-04-11T07:00,27.9,85,1011.6,4.0,0.9
2026-04-11T08:00,29.0,77,1012.1,4.5,0.3
2026-04-11T09:00,29.6,73,1011.9,5.6,0.1
2026-04-11T10:00,30.1,72,1011.5,7.0,0.0
2026-04-11T11:00,30.2,72,1010.6,7.7,0.0
2026-04-11T12:00,30.2,73,1009.6,8.0,0.1
2026-04-11T13:00,30.4,70,1008.5,8.5,0.1
2026-04-11T14:00,30.7,67,1008.2,9.1,0.6
2026-04-11T15:00,29.2,75,1007.4,9.6,0.7
2026-04-11T16:00,29.2,76,1007.5,4.3,0.0
2026-04-11T17:00,28.9,78,1008.4,4.0,0.2
2026-04-11T18:00,28.3,82,1009.1,4.0,0.2
2026-04-11T19:00,28.4,79,1009.7,7.5,0.0
2026-04-11T20:00,28.1,81,1010.9,6.8,0.0
2026-04-11T21:00,28.1,81,1011.0,6.7,0.0
2026-04-11T22:00,28.0,81,1011.2,6.5,0.0
2026-04-11T23:00,27.7,83,1011.1,3.7,0.0
2026-04-12T00:00,25.0,94,1011.0,4.9,3.1
2026-04-12T01:00,25.4,89,1010.5,1.8,0.1
2026-04-12T02:00,25.3,92,1009.8,3.1,1.5
2026-04-12T03:00,25.0,97,1009.8,3.3,0.1
2026-04-12T04:00,24.6,98,1009.9,4.9,0.1
2026-04-12T05:00,24.6,98,1010.2,2.7,0.0
2026-04-12T06:00,24.8,97,1010.2,2.7,0.0
2026-04-12T07:00,26.5,91,1010.6,2.6,0.0
2026-04-12T08:00,28.4,82,1011.0,4.1,0.0
2026-04-12T09:00,29.4,77,1011.1,7.9,0.1
2026-04-12T10:00,29.8,75,1010.7,8.5,0.1
2026-04-12T11:00,30.4,72,1009.5,7.5,0.1
2026-04-12T12:00,30.5,73,1008.7,6.4,0.0
2026-04-12T13:00,31.4,66,1007.7,6.1,0.0
2026-04-12T14:00,30.5,66,1007.0,12.3,0.5
2026-04-12T15:00,30.0,71,1006.7,6.5,0.1
2026-04-12T16:00,29.9,71,1007.3,2.3,0.0
2026-04-12T17:00,28.7,74,1008.2,7.5,0.0
2026-04-12T18:00,27.5,80,1009.4,6.7,0.0
2026-04-12T19:00,27.7,84,1010.3,3.6,0.0
2026-04-12T20:00,25.2,88,1011.5,5.5,2.0
2026-04-12T21:00,25.2,91,1011.6,5.8,0.5
2026-04-12T22:00,25.0,92,1011.5,4.5,0.0
2026-04-12T23:00,24.7,92,1011.2,3.3,0.0
2026-04-13T00:00,24.2,94,1010.6,2.7,0.0
2026-04-13T01:00,24.8,93,1010.1,2.7,0.0
2026-04-13T02:00,24.4,95,1009.8,2.4,0.0
2026-04-13T03:00,24.1,95,1009.5,2.4,0.0
2026-04-13T04:00,24.0,95,1009.5,2.8,0.0
2026-04-13T05:00,24.0,95,1009.9,3.2,0.0
2026-04-13T06:00,24.4,93,1010.5,4.1,0.0
